"2017-08-22 11:47:04 : Found  6901  addresses..."
"2017-08-23 12:21:21 :  ZERO_RESULTS  ( 13686+DEGARMO+AVE,+SYLMAR,+CA+91342 )"
"2017-08-23 12:21:55 :  ZERO_RESULTS  ( 6039+HACKAMORE+LN,+Tustin,+CA+92807 )"
"2017-08-23 12:22:00 :  ZERO_RESULTS  ( 1411+SOUTH+BURLINGTON+AVE,+Culver+City,+CA+90006 )"
"2017-08-23 12:22:30 :  ZERO_RESULTS  ( 16323+CORNING+AVE,+BELLFLOWER,+CA+90000 )"
"2017-08-23 12:22:56 :  ZERO_RESULTS  ( 338+KAYBA+ST,+ROSWELL,+NM+88201 )"
"2017-08-23 12:23:47 :  ZERO_RESULTS  ( 814+SOUTH+NEW+HAMPSHIRE,+Culver+City,+CA+90005 )"
"2017-08-23 12:26:08 :  UNKNOWN_ERROR  ( 12533+BRADDOCK+DR,+Los+Angeles,+CA+90066 )"
"2017-08-23 12:27:45 :  ZERO_RESULTS  ( 21438+DUMER+RD,+Woodland+Hills,+CA+91364 )"
"2017-08-23 12:28:06 :  ZERO_RESULTS  ( 1731+AMBOILTWAY+,+OCEANSIDE,+CA+90000 )"
"2017-08-23 12:28:07 :  ZERO_RESULTS  ( 5008+FIGUEROA+,+Culver+City,+CA+90230 )"
"2017-08-23 12:28:27 :  ZERO_RESULTS  ( 1918+TRANISIENT+,+Culver+City,+CA+90232 )"
"2017-08-23 12:29:15 :  ZERO_RESULTS  ( 405+EAST+SENTNEY+AVE,+Inglewood,+CA+90301 )"
"2017-08-23 12:31:37 :  ZERO_RESULTS  ( 411+EAST+69TH+ST,+Culver+City,+CA+90003 )"
"2017-08-23 12:31:48 :  ZERO_RESULTS  ( 230+ALHITAM+ST,+Riyady,++0 )"
"2017-08-23 12:33:08 :  ZERO_RESULTS  ( 13107+JARVIS+AVE,+Culver+City,+CA+90061 )"
"2017-08-23 12:34:05 :  ZERO_RESULTS  ( 27858+BARTINA+ST,+Northridge,+CA+90000 )"
"2017-08-23 12:34:07 :  UNKNOWN_ERROR  ( 1857+7TH+ST,+Los+Angeles,+CA+90401 )"
"2017-08-23 12:34:52 :  ZERO_RESULTS  ( 249+WEST+73RD+ST,+Culver+City,+CA+90003 )"
"2017-08-23 12:41:15 : end... "
